Итерация 78: 300,2316   130,7408   1116,7242   -4,1524   
Итерация 79: 300,2123   130,5062   1116,6671   -3,801   
Итерация 80: 300,2699   130,5803   1117,0225   -3,9967   
Итерация 81: 300,26   130,516   1117,0128   -3,9359   
Итерация 82: 300,2749   130,3678   1117,3823   -3,8983   
Итерация 83: 300,2719   130,3068   1117,3741   -3,7849   
Итерация 84: 300,2653   130,176   1117,5971   -3,783   
Итерация 85: 300,2571   130,0987   1117,5618   -3,668   
Итерация 86: 300,2573   130,0384   1117,5298   -3,5378   
Итерация 87: 300,267   130,0836   1117,5851   -3,5939   
Итерация 88: 300,2415   130,0112   1117,62   -3,6228   
Итерация 89: 300,2297   129,9272   1117,5833   -3,5141   
Итерация 90: 300,2215   129,8509   1117,5481   -3,3995   
Итерация 91: 300,2224   129,7931   1117,5166   -3,2684   
Итерация 92: 300,2688   130,0811   1117,7515   -3,7419   
Итерация 93: 300,2219   129,7396   1117,6038   -3,2918   
Итерация 94: 300,269   129,6422   1118,1428   -3,2814   
Итерация 95: 300,2795   129,7924   1118,3783   -3,5859   
Итерация 96: 300,2664   129,7027   1118,3407   -3,4766   
Итерация 97: 300,255   129,617   1118,3038   -3,3655   
Итерация 98: 300,2479   129,5403   1118,2687   -3,2473   
Итерация 99: 300,2308   129,4031   1118,2475   -3,0743   
Итерация 100: 300,2257   129,3642   1118,2882   -3,0924   
Итерация 101: 300,2192   129,2899   1118,2535   -2,9769   
Итерация 102: 300,2244   129,2393   1118,2234   -2,8402   
Итерация 103: 300,2452   129,3211   1118,565   -3,0973   
Итерация 104: 300,2467   129,2611   1118,5332   -2,9646   
Итерация 105: 300,2596   129,2606   1118,8613   -3,0532   
Итерация 106: 300,2583   129,3041   1118,9604   -3,2053   
Итерация 107: 300,2457   129,2147   1118,9229   -3,096   
Итерация 108: 300,2351   129,1302   1118,8863   -2,9844   
Итерация 109: 300,2302   129,0575   1118,852   -2,8636   
Итерация 110: 300,2759   129,3019   1119,2167   -3,2655   
Итерация 111: 300,2374   128,9642   1119,0707   -2,7972   
Итерация 112: 300,2439   128,8707   1119,3347   -2,74   
Итерация 113: 300,2362   128,852   1119,3772   -2,7931   
Итерация 114: 300,2375   128,7909   1119,3453   -2,6627   
Итерация 115: 300,232   128,7936   1119,5291   -2,7402   
Итерация 116: 300,2412   128,8234   1119,7405   -2,875   
Итерация 117: 300,2283   128,7332   1119,703   -2,7685   
Итерация 118: 300,2405   128,8213   1119,7402   -2,8743   
Итерация 119: 300,2271   128,7299   1119,7023   -2,7674   
Итерация 120: 300,2404   128,8203   1119,74   -2,8724   
Итерация 121: 300,2276   128,7298   1119,7024   -2,763   
Итерация 122: 300,2167   128,6438   1119,6656   -2,652   
Итерация 123: 300,211   128,569   1119,6309   -2,5331   
Итерация 124: 300,2314   128,4798   1120,164   -2,5557   
Итерация 125: 300,2279   128,3124   1120,5446   -2,4231   
Итерация 126: 300,2469   128,4587   1121,0625   -2,7761   
Итерация 127: 300,235   128,2953   1121,1482   -2,6287   
Итерация 128: 300,2478   128,3864   1121,1856   -2,7339   
Итерация 129: 300,2051   128,0374   1121,039   -2,2911   
Итерация 130: 300,2118   127,9875   1121,0096   -2,1559   
Итерация 131: 300,1986   128,036   1121,3054   -2,3608   
Итерация 132: 300,1955   127,9664   1121,2722   -2,2413   
Итерация 133: 300,2188   128,0531   1121,4866   -2,3499   
Итерация 134: 300,1957   127,945   1121,5117   -2,2781   
Итерация 135: 300,2401   128,1434   1121,8979   -2,6295   
Итерация 136: 300,2072   127,8125   1121,7556   -2,1646   
Итерация 137: 300,208   127,8276   1121,8678   -2,1825   
Итерация 138: 300,2087   127,8426   1122,0014   -2,2718   
Итерация 139: 300,1965   127,7173   1122,0241   -2,1652   
Итерация 140: 300,2223   127,9747   1122,4582   -2,5571   
Итерация 141: 300,2033   127,7171   1122,4589   -2,2014   
Итерация 142: 300,1936   127,6012   1122,5261   -2,122   
Итерация 143: 300,1906   127,4241   1122,9919   -1,9881   
Итерация 144: 300,1526   127,339   1123,3178   -2,0494   
Итерация 145: 300,1473   127,2676   1123,2847   -1,9365   
Итерация 146: 300,2131   127,7636   1123,5178   -2,5755   
Итерация 147: 300,216   127,734   1123,5557   -2,5574   
Итерация 148: 300,1791   127,3937   1123,4135   -2,0735   
Итерация 149: 300,2103   127,5978   1123,6173   -2,4043   
Итерация 150: 300,2187   127,6302   1123,7078   -2,5086   
Итерация 151: 300,2213   127,6307   1123,7081   -2,4942   
Итерация 152: 300,2238   127,6312   1123,7083   -2,4797   
Итерация 153: 300,1548   127,121   1123,8731   -1,9202   
Итерация 154: 300,1743   127,19   1124,0739   -2,0667   
Итерация 155: 300,1694   127,1164   1124,0407   -1,9495   
Итерация 156: 300,2007   127,2968   1124,2395   -2,2244   
Итерация 157: 300,1947   127,2186   1124,2055   -2,1034   
Итерация 158: 300,1707   127,0379   1124,2995   -1,9618   
Итерация 159: 300,164   126,9608   1124,2655   -1,8506   
Итерация 160: 300,1713   126,9122   1124,2372   -1,7156   
Итерация 161: 300,1802   127,0535   1124,4068   -1,9733   
Итерация 162: 300,197   127,2512   1124,7925   -2,3429   
Итерация 163: 300,1997   127,2517   1124,7928   -2,3272   
Итерация 164: 300,2016   127,252   1124,793   -2,3167   
Итерация 165: 300,2038   127,2531   1124,7934   -2,3052   
Итерация 166: 300,186   127,1515   1124,8162   -2,2835   
Итерация 167: 300,1879   127,1519   1124,8164   -2,2728   
Итерация 168: 300,1908   127,1523   1124,8167   -2,2566   
Итерация 169: 300,1927   127,1527   1124,8169   -2,2457   
Итерация 170: 300,1946   127,153   1124,8171   -2,2348   
Итерация 171: 300,1965   127,1533   1124,8173   -2,2238   
Итерация 172: 300,1984   127,1537   1124,8175   -2,2128   
Итерация 173: 300,1465   126,9644   1124,8237   -2,1821   
Итерация 174: 300,1487   126,9647   1124,8238   -2,171   
Итерация 175: 300,1509   126,9651   1124,824   -2,1599   
Итерация 176: 300,153   126,9654   1124,8242   -2,1486   
Итерация 177: 300,1552   126,9657   1124,8244   -2,1373   
Итерация 178: 300,1573   126,9661   1124,8246   -2,126   
Итерация 179: 300,1595   126,9664   1124,8248   -2,1145   
Итерация 180: 300,1616   126,9667   1124,825   -2,103   
Итерация 181: 300,1627   126,9669   1124,8251   -2,0972   
Значение целевой функции: 4284,82597117382
