Итерация 114: -1,2418   -1,3   18,5577   
Итерация 115: -1,2528   -1,305   18,5499   
Итерация 116: -1,2639   -1,31   18,5422   
Итерация 117: -1,2273   -1,2692   18,5225   
Итерация 118: -1,2387   -1,2743   18,5145   
Итерация 119: -1,2039   -1,2349   18,4936   
Итерация 120: -1,2155   -1,2402   18,4854   
Итерация 121: -1,2272   -1,2454   18,4773   
Итерация 122: -1,1949   -1,2075   18,4542   
Итерация 123: -1,2067   -1,2128   18,4459   
Итерация 124: -1,1643   -1,1708   18,43   
Итерация 125: -1,1765   -1,1764   18,4214   
Итерация 126: -1,1887   -1,1819   18,4129   
Итерация 127: -1,1484   -1,1412   18,3951   
Итерация 128: -1,161   -1,1469   18,3863   
Итерация 129: -1,1735   -1,1526   18,3775   
Итерация 130: -1,1355   -1,1133   18,3579   
Итерация 131: -1,1483   -1,1192   18,3489   
Итерация 132: -1,112   -1,0813   18,3282   
Итерация 133: -1,1251   -1,0873   18,3191   
Итерация 134: -1,1381   -1,0932   18,3099   
Итерация 135: -1,0909   -1,0508   18,2966   
Итерация 136: -1,1043   -1,0569   18,2872   
Итерация 137: -1,1177   -1,0631   18,2778   
Итерация 138: -1,0725   -1,022   18,263   
Итерация 139: -1,0863   -1,0283   18,2533   
Итерация 140: -1,1   -1,0346   18,2437   
Итерация 141: -1,0427   -0,9884   18,2372   
Итерация 142: -1,057   -0,995   18,2271   
Итерация 143: -1,0713   -1,0015   18,2172   
Итерация 144: -1,0854   -1,008   18,2073   
Итерация 145: -1,0302   -0,9631   18,1988   
Итерация 146: -1,045   -0,9699   18,1885   
Итерация 147: -1,0596   -0,9766   18,1782   
Итерация 148: -1,006   -0,9329   18,1685   
Итерация 149: -1,0212   -0,9399   18,1579   
Итерация 150: -1,0362   -0,9469   18,1474   
Итерация 151: -1,0512   -0,9538   18,137   
Итерация 152: -1   -0,9115   18,1252   
Итерация 153: -1,0154   -0,9187   18,1145   
Итерация 154: -1,0306   -0,9257   18,1038   
Итерация 155: -0,9654   -0,8775   18,1018   
Итерация 156: -0,9815   -0,885   18,0906   
Итерация 157: -0,9975   -0,8924   18,0795   
Итерация 158: -1,0132   -0,8997   18,0685   
Итерация 159: -0,9498   -0,8526   18,065   
Итерация 160: -0,9663   -0,8604   18,0535   
Итерация 161: -0,9826   -0,8679   18,0421   
Итерация 162: -0,9204   -0,822   18,0378   
Итерация 163: -0,9375   -0,83   18,0259   
Итерация 164: -0,9544   -0,8379   18,0142   
Итерация 165: -0,971   -0,8456   18,0026   
Итерация 166: -0,911   -0,8011   17,9966   
Итерация 167: -0,9283   -0,8093   17,9845   
Итерация 168: -0,9454   -0,8172   17,9726   
Итерация 169: -0,8869   -0,774   17,9657   
Итерация 170: -0,9047   -0,7824   17,9533   
Итерация 171: -0,9222   -0,7906   17,9411   
Итерация 172: -0,9393   -0,7986   17,9292   
Итерация 173: -0,8653   -0,7485   17,933   
Итерация 174: -0,8836   -0,7572   17,9202   
Итерация 175: -0,9016   -0,7656   17,9077   
Итерация 176: -0,9192   -0,7739   17,8954   
Итерация 177: -0,8467   -0,725   17,8981   
Итерация 178: -0,8655   -0,7339   17,885   
Итерация 179: -0,8839   -0,7426   17,8722   
Итерация 180: -0,9019   -0,751   17,8596   
Итерация 181: -0,8311   -0,7034   17,8611   
Итерация 182: -0,8503   -0,7124   17,8478   
Итерация 183: -0,869   -0,7213   17,8347   
Итерация 184: -0,8873   -0,7299   17,822   
Итерация 185: -0,7986   -0,6742   17,8358   
Итерация 186: -0,8187   -0,6838   17,8219   
Итерация 187: -0,8383   -0,6931   17,8083   
Итерация 188: -0,8575   -0,7021   17,795   
Итерация 189: -0,7896   -0,6568   17,7944   
Итерация 190: -0,8098   -0,6664   17,7804   
Итерация 191: -0,8295   -0,6757   17,7667   
Итерация 192: -0,8487   -0,6848   17,7533   
Итерация 193: -0,7625   -0,6312   17,7655   
Итерация 194: -0,7834   -0,6412   17,751   
Итерация 195: -0,8038   -0,6509   17,7369   
Итерация 196: -0,8237   -0,6603   17,7231   
Итерация 197: -0,7382   -0,6075   17,7349   
Итерация 198: -0,7598   -0,6179   17,7199   
Итерация 199: -0,7808   -0,6279   17,7053   
Итерация 200: -0,8012   -0,6376   17,6912   
Итерация 201: -0,7168   -0,5857   17,7024   
Итерация 202: -0,739   -0,5963   17,687   
Итерация 203: -0,7605   -0,6066   17,6721   
Итерация 204: -0,7813   -0,6166   17,6577   
Итерация 205: -0,8015   -0,6262   17,6436   
Итерация 206: -0,6978   -0,5655   17,6681   
Итерация 207: -0,7207   -0,5765   17,6523   
Итерация 208: -0,7428   -0,5871   17,637   
Итерация 209: -0,7642   -0,5973   17,6222   
Итерация 210: -0,7848   -0,6071   17,6078   
Итерация 211: -0,6823   -0,5473   17,6315   
Итерация 212: -0,7056   -0,5586   17,6154   
Итерация 213: -0,7282   -0,5694   17,5998   
Итерация 214: -0,7499   -0,5798   17,5847   
Итерация 215: -0,646   -0,5197   17,6095   
Итерация 216: -0,6706   -0,5316   17,5925   
Итерация 217: -0,6943   -0,543   17,5762   
Итерация 218: -0,7171   -0,5539   17,5604   
Итерация 219: -0,739   -0,5645   17,5452   
Итерация 220: -0,6373   -0,5058   17,5686   
Итерация 221: -0,662   -0,5178   17,5515   
Итерация 222: -0,6859   -0,5292   17,535   
Итерация 223: -0,7087   -0,5402   17,5192   
